candidate,TP,SL,feePct,totalSignals,actualEntries,ignoredSignals,completedTrades,longEntries,shortEntries,tpHits,slHits,bailoutHits,openAtSessionEnd,winRate,avgHoldMs,medianHoldMs,maxHoldMs,grossPnlUsdt,feesUsdt,netPnlUsdt,startEqUsdt,endEqUsdt,maxDrawdownUsdt,tradesPerHour
A,0.1,0.25,0.00075,165,19,146,19,11,8,11,8,0,0,0.5789473684210527,434442.63157894736,399672,566959,-0.11340000000000029,0.42179445000000015,-0.5351944500000004,3.488372093023256,2.953177643023254,0.5351944500000019,76
A,0.1,0.25,0.0005,165,22,143,22,11,11,11,11,0,0,0.5,439463,459985,566959,-0.22820000000000334,0.3256155000000001,-0.5538155000000035,3.488372093023256,2.9345565930232524,0.5538155000000033,88
A,0.1,0.3,0.001,165,12,153,12,5,7,5,7,0,0,0.4166666666666667,518411.4166666667,558703,659568,-0.23380000000000223,0.3552794,-0.5890794000000023,3.488372093023256,2.899292693023254,0.5890794000000019,48
A,0.1,0.3,0.00075,165,16,149,16,8,8,8,8,0,0,0.5,491597.625,554063,659568,-0.2254000000000039,0.3552496500000001,-0.580649650000004,3.488372093023256,2.9077224430232502,0.5806496500000056,64
A,0.1,0.3,0.0005,165,21,144,21,11,10,11,10,0,0,0.5238095238095238,478174.14285714284,408336,659568,-0.2660000000000048,0.310849,-0.5768490000000048,3.488372093023256,2.911523093023251,0.5768490000000046,84
A,0.1,0.5,0.001,165,81,84,46,46,35,46,0,0,35,1,241727.60869565216,232758,408336,0.8175999999999826,1.3611584,-0.5435584000000175,3.488372093023256,2.944813693023237,0.5435584000000189,184
A,0.1,0.5,0.00075,165,165,0,87,102,63,87,0,0,78,1,184961.0459770115,174037,408336,1.4587999999999748,1.9324830000000004,-0.4736830000000256,3.488372093023256,3.014689093023227,0.4736830000000287,348
A,0.1,0.5,0.0005,165,165,0,87,102,63,87,0,0,78,1,184961.0459770115,174037,408336,1.4587999999999748,1.2883220000000002,0.1704779999999746,3.488372093023256,3.6588500930232315,0,348
A,0.15,0.1,0.001,165,21,144,21,11,10,11,10,0,0,0.5238095238095238,402464.1904761905,384448,505673,0.06019999999999699,0.6214866,-0.561286600000003,3.488372093023256,2.9270854930232524,0.5612866000000034,84
A,0.15,0.1,0.00075,165,32,133,32,18,14,18,14,0,0,0.5625,379405.1875,378411,505673,0.14280000000000345,0.7102683000000002,-0.5674682999999967,3.488372093023256,2.920903793023262,0.5674682999999936,128
A,0.15,0.1,0.0005,165,43,122,43,22,21,22,21,0,0,0.5116279069767442,349777.6976744186,353725,505673,0.08680000000000465,0.6362580000000002,-0.5494579999999956,3.488372093023256,2.938914093023258,0.5494579999999978,172
A,0.15,0.15,0.001,165,20,145,20,11,9,11,9,0,0,0.55,408029.75,388494,505673,0.044799999999997064,0.5919256000000002,-0.5471256000000031,3.488372093023256,2.941246493023252,0.5471256000000038,80
A,0.15,0.15,0.00075,165,24,141,24,12,12,12,12,0,0,0.5,395580.7916666667,381045,505673,-3.972516759986888e-15,0.5327322000000002,-0.5327322000000042,3.488372093023256,2.955639893023253,0.532732200000003,96
A,0.15,0.15,0.0005,165,36,129,36,18,18,18,18,0,0,0.5,370234.9166666667,368290,505673,-0.0013999999999967268,0.5327217,-0.5341216999999967,3.488372093023256,2.954250393023257,0.5341216999999987,144
A,0.15,0.2,0.001,165,16,149,16,8,8,8,8,0,0,0.5,455313,475278,546259,-0.08259999999999851,0.47359900000000005,-0.5561989999999986,3.488372093023256,2.932173093023256,0.5561989999999999,64
A,0.15,0.2,0.00075,165,21,144,21,11,10,11,10,0,0,0.5238095238095238,454053.5238095238,458048,546259,-0.07840000000000233,0.4662189,-0.5446189000000023,3.488372093023256,2.9437531930232548,0.544618900000001,84
A,0.15,0.2,0.0005,165,33,132,33,18,15,18,15,0,0,0.5454545454545454,425939.54545454547,432220,546259,-0.08679999999999471,0.4884138,-0.5752137999999947,3.488372093023256,2.9131582930232582,0.5752137999999976,132
A,0.15,0.25,0.001,165,16,149,16,8,8,8,8,0,0,0.5,463736.75,490390,566959,-0.12460000000000004,0.4736410000000001,-0.5982410000000001,3.488372093023256,2.890131093023256,0.5982409999999998,64
A,0.15,0.25,0.00075,165,20,145,20,11,9,11,9,0,0,0.55,463146.1,480203,566959,-0.09380000000000416,0.4440481500000001,-0.5378481500000043,3.488372093023256,2.950523943023252,0.5378481500000039,80
A,0.15,0.25,0.0005,165,24,141,24,12,12,12,12,0,0,0.5,457656.7916666667,473588,566959,-0.1862000000000057,0.35524790000000006,-0.5414479000000058,3.488372093023256,2.94692419302325,0.5414479000000059,96
A,0.15,0.3,0.001,165,12,153,12,5,7,5,7,0,0,0.4166666666666667,536113.8333333334,558703,659568,-0.20860000000000328,0.3553046,-0.5639046000000033,3.488372093023256,2.924467493023253,0.563904600000003,48
A,0.15,0.3,0.00075,165,16,149,16,8,8,8,8,0,0,0.5,505827,554063,659568,-0.1876000000000025,0.3552780000000001,-0.5428780000000026,3.488372093023256,2.945494093023253,0.5428780000000026,64
A,0.15,0.3,0.0005,165,22,143,22,11,11,11,11,0,0,0.5,504237.13636363635,523251,659568,-0.2534000000000083,0.3256855,-0.5790855000000084,3.488372093023256,2.9092865930232477,0.5790855000000081,88
A,0.15,0.5,0.001,165,165,0,64,102,63,64,0,0,101,1,247137.84375,220958,505673,1.4420000000000062,1.8947095999999997,-0.4527095999999935,3.488372093023256,3.0356624930232603,0.4527095999999955,256
A,0.15,0.5,0.00075,165,165,0,64,102,63,64,0,0,101,1,247137.84375,220958,505673,1.4420000000000062,1.4210322000000004,0.020967800000005754,3.488372093023256,3.5093398930232653,0,256
A,0.15,0.5,0.0005,165,165,0,64,102,63,64,0,0,101,1,247137.84375,220958,505673,1.4420000000000062,0.9473547999999998,0.49464520000000634,3.488372093023256,3.983017293023257,0,256
A,0.2,0.1,0.001,165,24,141,24,12,12,12,12,0,0,0.5,425981.7916666667,436914,515289,0.1581999999999934,0.7103782000000001,-0.5521782000000066,3.488372093023256,2.936193893023249,0.5521782000000068,96
